Place_Id,Place_Name,Category,City,Tags
1,Monumen Nasional,Budaya,Jakarta,monumen nasional populer singkat mona tugu mona monumen ingat 132 meter 433 kaki diri kenang lawan juang rakyat indonesia rebut merdeka perintah kolonial hindia belanda bangun monumen tanggal 17 agustus 1961 perintah presiden soekarno buka tanggal 12 juli tugu mahkota lidah api lapis lembar emas melambang semangat juang monumen nasional letak lapang medan merdeka jakarta pusat
2,Kota Tua,Budaya,Jakarta,kota tua jakarta nama kota tua pusat fatahillah ramai tunjuk rutin tari tradisional museum sejarah jakarta bangun era belanda lukis barang antik museum wayang pamer boneka kayu khas jawa desa glodok chinatown kenal makan kaki pangsit mi goreng dekat sekunar kapal tangkap ikan labuh sunda kelapa kuno
3,Dunia Fantasi,Taman Hiburan,Jakarta,dunia fantasi dufan hibur letak kawasan taman impi jaya ancol jakarta utara indonesia dufan resmi buka tanggal 29 agustus 1985
4,Taman Mini Indonesia Indah (TMII),Taman Hiburan,Jakarta,taman mini indonesia indah kawasan taman wisata tema budaya indonesia jakarta timur area luas 150 hektare kilometer persegi letak koordinat
5,Atlantis Water Adventure,Taman Hiburan,Jakarta,atlantis water adventure kenal atlantis ancol suguh tualang wisata air lupa wisata tema main air luas 5 hektar sensasi tualang 8 kolam utama kolam antila plaza atlas poseidon aquarius octopus kiddy pool atlantean lokasi kawasan ancol jakarta baycity atlantis pilih destinasi pa wisata renang
6,Taman Impian Jaya Ancol,Taman Hiburan,Jakarta,taman impi jaya ancol objek wisata jakarta
7,Kebun Binatang Ragunan,Cagar Alam,Jakarta,kebun binatang ragunan kebun binatang letak daerah ragunan pasar minggu jakarta selatan indonesia kebun binatang luas 140 hektare diri dalam koleksi 295 spesies 4040 tutup minggu 19 september 2005 dalam infeksi flu burung buka 11 oktober binatang milik spesies hewan langka kakatua orangutan gorila anoa gajah
8,Ocean Ecopark,Taman Hiburan,Jakarta,ocean ecopark salah zona rekreasi ancol tawar ruang buka hijau alam lupa sisi didik unjung agam aktivitas wahana seru main rekreasi keluarga outbondholic rumah energy rumah lebah kano paintball outbondholic learning farm faunaland rencana wisata ocean eco park ancol khawatir harga tiket masuk harga tiket masuk ocean eco park tawar harga jangkau
9,Pelabuhan Marina,Bahari,Jakarta,labuh marina ancol kawasan taman impi jaya ancol jakarta labuh dermaga marina ancol kawasan perlu seberang kembang wisata air olahraga air wahana main fungsi utama labuh layan tumpang seberang pulau ribu orang jakarta jadi kepulaun ribu tuju wisata utama libur pulau ribu hilang penat kota metropolitan sembari nikmat indah pantai jaga marina ancol jakarta utara lengkap alamat kota tua ancol pademangan kota jakarta mudah pusat kota transportasi jasa transportasi online
10,Pulau Tidung,Bahari,Jakarta,pulau tidung salah lurah camat pulau ribu selatan kabupaten pulau ribu jakarta indonesia
11,Pulau Bidadari,Bahari,Jakarta,pulau bidadari salah resor kabupaten pulau ribu jakarta nama pulau bidadari pulau milik nama pulau sakit pulau purmerend
12,Pulau Pari,Bahari,Jakarta,pulau pari pulau letak pulau ribu daerah khusus ibukota jakarta indonesia
13,Pulau Pramuka,Bahari,Jakarta,pulau pramuka salah pulau gugus pulau ribu pulau pusat administrasi perintah kabupaten administrasi pulau ribu pulau pramuka wilayah lurah pulau panggang
14,Pulau Pelangi,Bahari,Jakarta,pulau pelangi pulau letak pulau ribu daerah khusus ibukota jakarta indonesia pulau pelangi pulau letak pulau ribu daerah khusus ibukota jakarta indonesia pulau pelangi pulau petondan pelangi island pulau resort sesuai libur pulau resort konsep natural wilayah penuh rimbun pohon sejuk mata indah alam laut layak kunjung keliling rimbun pohon laut berwarana biru jernih suasanan sejuk nyaman kondisi ideal wisata keluarga akomodasi langsung hadap laut turis betah pulau informasi pulau pelangi pulau petondan pulau gugus pulau ribu administratif wilayah kabupaten administratif pulau ribu provinsi dki jakarta sama pulau petondan resort libur letak dekat gugus pulau kelor pulau capai pelangi resort butuh 90 menit jalan dermaga pantai mutiara kapal speedboat khusus pier r1 pantai mutiara bawa tumpang kesana letak 60 70 km pantai mutiara lumayan jalan bayar luna pulau pelangi
15,Pasar Seni,Pusat Perbelanjaan,Jakarta,pasar seni pusat rajin seni wadah seniman bakat salur rajin seni milik seniman temu kolektor seni usaha bagi informasi pasar produk milik diri 1977 leta batu bang ali sadikin gubernur dki jakarta tepat juli resmi gubernur tjokropanolo tanggal 17 desember resmi pasar seni sambut positif cinta seni
16,Jembatan Kota Intan,Budaya,Jakarta,jembatan kota intan jembatan tua indonesia bangun 1628 perintah vereenigde oostindische compagnie voc masyarakat familiar sebut kumpeni jembatan letak kali kawasan kota tua wilayah jakarta barat kelola dinas pariwisata budaya provinsi dki jakarta
17,Museum Fatahillah,Budaya,Jakarta,museum fatahillah milik nama resmi museum sejarah jakarta museum letak jalan taman fatahillah no 1 jakarta barat luas meter balai kota batavia bahasa belanda stadhuis van batavia bangun perintah joan van hoorn bangun rupa istana dam amsterdam bangun utama sayap timur barat bangun sanding kantor ruang adil tanah pakai penjara tanggal 30 maret 1974 bangun resmi ali sadikin museum sejarah jakarta
18,Museum Bank Indonesia,Budaya,Jakarta,museum bank indonesia museum jakarta indonesia letak jl pintu utara jakarta barat stasiun beos kota tempat area bekas gedung bank indonesia kota cagar budaya tinggal de javasche bank alir padu pengaruh lokal bangun kali 1625 bangun gereja sederhana umat protestan 1628 gereja bongkar meriam puluh ribu tentara sultan agung serang batavia saji informasi peran bank indonesia jalan sejarah bangsa datang bangsa barat nusantara bentuk bank indonesia 1953 bank indonesia liput latar dampak bijak bank indonesia masyarakat saji kemas rupa manfaat teknologi modern multi medium display elektronik panel statik televisi plasma diorama cipta nyaman unjung nikmat museum bank indonesia fakta koleksi benda sejarah bentuk bank indonesia nusantara koleksi uang numismatik tampil museum bank indonesia tahap resmi tahap i buka masyarakat soft opening tanggal 15 desember 2006 gubernur bank indonesia burhanuddin abdullah resmi tahap ii grand opening presiden ri susilo bambang yudhoyono tanggal 21 juli bank indonesia buka kecuali senin libur nasional
19,Kidzania,Taman Hiburan,Jakarta,kidzania waralaba swasta meksiko pusat hibur keluarga operasi 23 lokasi kerja orang dewasa bayar kidzania kunjung 31 juta unjung dunia buka jadi salah merek hibur global cepat kembang dunia
20,Museum Taman Prasasti,Budaya,Jakarta,museum taman prasasti museum cagar budaya tinggal kolonial belanda jalan tanah abang no 1 jakarta pusat museum milik koleksi prasasti nisan kuno miniatur makam khas 27 provinsi indonesia serta koleksi kereta jenazah antik museum luas ha museum buka tampil karya seni lampau canggih patung pahat kaligrafer sastrawan satu
21,Museum Wayang,Budaya,Jakarta,museum wayang museum lokasi jalan pintu utara nomor 27 jakarta barat
22,Masjid Istiqlal,Tempat Ibadah,Jakarta,masjid istiqlal arti harfiah masjid merdeka masjid nasional negara republik indonesia letak bekas taman wilhelmina timur laut lapang medan merdeka tengah diri monumen nasional mona pusat ibukota jakarta masjid salah 10 masjid besar kapasitas dunia tampung jamaah seberang timur masjid diri gereja katedral jakarta ketua hari badan kelola masjid istiqlal bpmi imam masjid istiqlal nasaruddin umar bangun masjid prakarsa presiden republik indonesia ir soekarno leta batu tanda bangun masjid istiqlal ir soekarno tanggal 24 agustus arsitek masjid istiqlal frederich silaban milik gaya arsitektur modern dinding lantai lap marmer hias ornamen geometrik baja antikarat bangun utama masjid lantai lantai dasar bangun utama mahkota kubah diameter 45 meter topang 12 tiang menara tunggal total meter julang sudut selatan selasar masjid masjid tampung aktivitas ibadah umat islam masjid kantor organisasi islam indonesia aktivitas sosial giat masjid salah daya tarik wisata kenal jakarta banyak wisatawan kunjung wisatawan domestik samping wisatawan asing agama islam masyarakat kunjung masjid bekal informasi islam masjid istiqlal kunjung kaum bata damping islam ramadhan idul fitri idul adha hijriyah maulid nabi muhammad isra presiden republik indonesia ada giat agama masjid siar langsung televisi nasional tvri televisi swasta
23,Gereja Katedral,Tempat Ibadah,Jakarta,gereja katedral jakarta nama resmi gereja santa maria angkat surga bahasa jerman de kerk van onze lieve vrouwe ten hemelopneming bahasa inggris the church of our lady of the assumption gereja jakarta gedung gereja resmi 1901 bangun arsitektur eropa arsitektur lazim bangun gedung gereja abad
24,Museum Nasional,Budaya,Jakarta,museum nasional republik indonesia museum gajah museum arkeologi sejarah etnografi geografi letak jakarta pusat persis jalan merdeka barat museum museum besar asia tenggara
25,Pasar Tanah Abang,Pusat Perbelanjaan,Jakarta,pasar tanah abang pasar sabtu bangun yustinus vinck 30 agustus yustinus vinck diri pasar tanah abang pasar izin gubernur jenderal abraham patramini izin pasar tanah abang jual tekstil barang kelontong buka sabtu pasar pasar sabtu pasar saing pasar senen welter vreden 1740 peristiwa geger pecinan bantai tionghoa rusa harta benda pasar tanah abang diporakporandakan bakar 1881 pasar tanah abang bangun buka sabtu tambah rabu pasar tanah abang buka 2 kali minggu bangun pasar sederhana dinding bambu papan atap rumbia 229 papan 139 petak bambu pasar tanah abang alami baik abad lantai kera pondasi adu 1913 pasar tanah abang baik 1926 perintah batavia bongkar pasar tanah abang ganti bangun permanen los tembok papan atap genteng kantor pasar bangun pasar kandang burung latar parkir pasar parkir tarik delman gerobak situ sedia kobak air seberang jalan toko khusus jual dedak makan kuda puluh meter toko dedak gang kenal gang madat lokalisasi zaman duduk jepang pasar fungsi tanah abang kembang bangun stasiun tanah abang bangun masjid al makmur klenteng hok tek tjen sien usia pasar tanah abang 1973 pasar tanah abang remaja ganti 4 bangun lantai alami kali bakar tanggal 30 desember 1978 blok a lantai timpa blok b tanggal 13 agustus 1975 catat kios buah dagang
26,Pecinan Glodok,Pusat Perbelanjaan,Jakarta,kawasan glodok kenal pusat dagang elektronik dulunya bekas penjara glodok angker lokasi seberang kawasan harco rusuh mei 1998 kawasan pusat belanja elektronik wisatawan jepang taiwan hongkong pinangsia masyarakat temu produk lengkap rumah tangga bangun wisata belanja pecinan situs sejarah kota jakarta etnis tionghoa mukim bangun bisnis kebun tebu batavia kembang pesat
27,Sea World,Taman Hiburan,Jakarta,seaworld indonesia miniatur pesona laut kompleks wisata taman impi jaya tanggal 2 oktober 1992 gubernur dki wiyogo atmodarminto letak batu bangun seaworld indonesia tanggal 3 juni 1994 seaworld indonesia operasi area seaworld luas 3 hektare luas bangun utama m2 isi akuarium lorong antasena lorong air pustaka museum terapi ikan dokter glow theatre komputer edukatif layar sentuh isi informasi spesies seaworld fasilitas lengkap unjung makan toko suvenir ruang serba
28,Wisata Agro Edukatif Istana Susu Cibugary,Taman Hiburan,Jakarta,kawasan wisata agro edukatif istana susu cibugary cibubur garden dairy kawasan agro terna sapi perah nuansa kebun taman wisata edukasi cibubur garden dairy cibugary salah wisata edukasi mati siswa sekolah edukasi kenal terna sapi alam lupa siswa sekolah giat edukasi senang suka siswa sekolah wisata edukasi tambah ilmu alam langsung siswa sekolah paket wisata edukatif istana susu cibugary harga rp rp orang harga botol susu pasteurisasi goodybag cibugary
29,Wisata Kuliner Pecenongan,Pusat Perbelanjaan,Jakarta,pecenongan salah surga kuliner jakarta pusat kenal zaman jakarta nama kota batavia dulunya kawasan dagang kaki jaja kuliner pinggir jalan kawasan pecenongan ramai rumah makan bangun kawasan pecenongan cocok wisata kuliner malam agam jenis kuliner pasti bingung coba heran orang coba pergi kuliner
30,Taman Menteng,Taman Hiburan,Jakarta,taman menteng taman lokasi kawasan menteng jakarta pusat taman dulunya tempat stadion diri lahan luas hektar milik koleksi 30 spesies tanam beda taman menteng milik agam fasilitas dukung taman main lapang futsal basket unik taman 44 sumur resap bantu serap air hujan tanah
31,Wisata Alam Mangrove Angke,Cagar Alam,Jakarta,anggap jakarta wisata alam langsung luncur jakarta utara tepat kamal muara jaring pantai indah kapuk daerah area wisata alam taman wisata mangrove jakarta hit kawasan area suaka margasatwa muara angke tutup hutan mangrove milik pemprov dki tarik wisata taman wisata alam mangrove angke area wisata ba konservasi mangrove
32,Setu Babakan,Budaya,Jakarta,setu babakan danau babakan letak srengseng sawah camat jagakarsa kotamadya jakarta selatan indonesia depok fungsi pusat kampung budaya betawi area untuk lestari waris budaya jakarta budaya asli budaya betawi diri tanggal 18 agustus 2000 surat putus gubernur dki nomor 92 2000 keluar gubernur dki jakarta babakan danau buat area 30 hektare 79 akre dalam meter mana air asal sungai ciliwung wisata alternatif warga sekitar tanam agam pohon mangga palem melinjo rambutan jambu pandan kecapi jamblang krendang gun nangka cimpedak kuliner khas betawi kerak telor toge goreng arum manis rujak bebek soto betawi e potong e duren bir pletok nasi uduk nasi ulam lontong sayur budaya saji laim khas betawi bagi 3 rumah betawi gudang kandang rumah betawi kebaya bapang tiga rumah joglo rumah khas lenong tari topeng tanjidor marawis gambang kromong tari lenggang nyai tari adat kampung betawi setu babakan penganten sunat pindah rumah khatam nujuh duduk setu babakan betawi program pemda dki baik sarana prasarana akomodasi butuh ruang buka hijau area resap air setu babakan benah dukung penuh pemda setu lestari budaya betawi gerus zaman alternatif rekreasi lokasi selatan jakarta fungsi utama tampung air resap selatan jakarta
33,Taman Suropati,Taman Hiburan,Jakarta,taman suropati nama burgemeester bisschopplein nama taman jakarta nama taman ambil nama wali kota batavia bisshop taman pusat kawasan menteng temu jalan utama menteng boulevard jalan teuku umar orange boulevard jalan diponegoro nassau boulevard jalan imam bonjol lapang taman suropati 1920 ganti lapang bundar luas rencana moojen taman suropati titik nol republik indonesia taman rindang hias karya patung diri himpun asia tenggara
34,Pasar Taman Puring,Pusat Perbelanjaan,Jakarta,taman puring taman harfiah eks 1960 silam taman puring pasar pasar pasar gelap alias pasar ilegal pasar jauh masyarakat sentra hasil tindak kriminal bakar 2002 pasar taman puring perlahan benah destinasi belanja pekan favorit warga jakarta ratus kios sepatu pria sepatu kulit sepatu gunung sepatu futsal sepatu gaul khas anak muda agam merk adidas caterpillar nike karrimor van converse sedia model warna
35,Grand Indonesia Mall,Pusat Perbelanjaan,Jakarta,grand indonesia mal jakarta mal buka 2007 presiden susilo bambang yudhoyono 2007 hotel indonesia alami pugar buka hotel kelola grup kempinski nama ganti hotel
36,Skyrink - Mall Taman Anggrek,Taman Hiburan,Jakarta,salah arena ice skating jakarta ice skating taman anggrek area ice skating taman anggrek luas meter persegi ice skating megah indonesia taman anggrek megah indonesia megah heran unjung
37,Bumi Perkemahan Cibubur,Taman Hiburan,Jakarta,bumi kemah graha wisata pramuka cibubur buperta cibubur kawasan kemah cibubur ciracas jakarta timur kawasan milik luas 210 hektar lokasi laksana jambore nasional buperta cibubur bangun kawasan hutan karet kelola tni ad tni au kelola buperta cibubur akses terminal kampung rambutan angkut jurus kranggan mekarsari jonggol
38,Istana Negara Republik Indonesia,Budaya,Jakarta,istana negara pusat giat perintah negara sifat negara gelar istana negara giat lantik negara buka kongres sifat nasional internasional istana negara fungsi fokus giat resmi presiden kantor presiden republik indonesia lansir situs sekretaris negara sesneg istana negara diam pribadi warga belanda van braam
